document,class_name,class_index,dataset_type
model check base fluid net temperature control system plant,5,2,train
advice multiple source revise improve,9,8,train
line bag negative correlation learning,3,3,train
decision make model base marker hypothesis,9,8,train
recurrent neural network prior knowledge sequence processing constrain approach,3,3,train
nature culture landscape case,1,0,train
notice notice public hearing adoption,7,7,train
evolution communication adaptive agent,3,3,train
combine microarray biological knowledge estimate gene network bayesian network,2,1,train
correlate decision making,9,8,train
improved branch bind algorithm motif search,2,1,train
stock return exchange risk puzzle evidence international arbitrage pricing theory,4,9,train
experimental study measurement fluidized bed light transmission,7,7,train
resolution predict behavior,6,5,train
corporate governance incentive industry,4,9,train
topological theory manifold,8,6,train
move food guide implication agriculture market trade economic,0,4,train
development advanced verification validation procedure tool learn system aerospace application,5,2,train
requirement elicitation model drive evaluation software component,5,2,train
learn continuous representation recursive neural network,3,3,train
social perspective role human resource practice knowledge sharing,9,8,train
long run environmental curve methane conventional fuzzy regression analysis,7,7,train
architecture support mobile embed system,5,2,train
autonomous vision base terrain mapping control,5,2,train
symposium paper presentation poster,0,4,train
monitor fluidize bed pressure fluctuation electrical tomography,7,7,train
transport algorithm partially,8,6,train
robot system weight maintenance,9,8,train
theoretic structure locality,8,6,train
input output view,3,3,train
extract surface texture microstructure multiple aerial image,6,5,train
publish goal platform action,0,4,train
magnetic resonance image tissue classification partial volume model,8,6,train
efficient feedforward frequency domain adaptive controller periodic field,7,7,train
supervised agriculture experience,0,4,train
tissue classification gene expression profile,2,1,train
computer support collaborative work construction industry,5,2,train
water resource conflict farm program increase irrigation water,0,4,train
rule base logic information,8,6,train
switch rule decentralized control simple control law,5,2,train
robot architecture integrated planning control,3,3,train
remote sensing application high area prediction coal bed methane,7,7,train
extract logic program artificial neural network,3,3,train
simulation model implementation simulator analysis electric power system,5,2,train
algorithm state invariant generate requirement specification,5,2,train
competition natural gas industry,7,7,train
event approach rapid prototyping embedded control system,5,2,train
comparative method identification gene structure variant,2,1,train
society reserve print infrared late type star long term evolution,6,5,train
experience mobile robotic guide elderly,9,8,train
statistically rigorous automate protein annotation,2,1,train
source resolution model physical process,0,4,train
optimal coupling energy infrastructure,7,7,train
position tool extract profile secondary electron image,6,5,train
relationship conditional volatility stock return latent approach,4,9,train
industry lead stock market,4,9,train
application technique damage measurement titanium alloy loading condition,6,5,train
predictive coding model competition visual attention,3,3,train
teach information processing challenge education,8,6,train
discovery heterogeneous sequence datum,2,1,train
efficient approach current distribution deposition chip,6,5,train
social capital virtual learning community distribute community practice,9,8,train
recurrent neural network small weight implement memory machine,3,3,train
order approximation probability model,8,6,train
natural gas export potential,7,7,train
local primitive causality common principle theory,8,6,train
base energy saving operation,5,2,train
logic base switch control nonholonomic system parametric modeling uncertainty,5,2,train
control theory system research system,5,2,train
bayesian network genomic analysis,2,1,train
symposium paper presentation poster,0,4,train
computational environment virtual power plant simulation,7,7,train
model social multiagent system,9,8,train
study regulation management public utility small field policy path dependency,7,7,train
capital market development,4,9,train
logic represent neural network,3,3,train
heavy metal mine,0,4,train
investor psychology capital market evidence policy implication,4,9,train
component influence injection method soil property,0,4,train
tracking coordination multiple agent sensor network system design algorithm experiment,5,2,train
groundwater level monitoring model multi temporal image region,0,4,train
hierarchical controller learn,3,3,train
apply plant growth control,0,4,train
dynamic bayesian network model infer genetic regulatory network search strategy comparison method,2,1,train
social capital online community,9,8,train
synthesis embed software synchronous specification,5,2,train
identify satellite periodic biological sequence,2,1,train
dynamic integrate fire neural network adaptive,3,3,train
system analysis north,7,7,train
heterogeneous adaptive system,3,3,train
limit quantum classical molecular dynamic model,8,6,train
stock return follow profit warning,4,9,train
bridge gap logic real robot,5,2,train
preparation porous low application,6,5,train
method error correction,8,6,train
theory computation base logic,8,6,train
discriminative framework classification,3,3,train
word design dna computing real time chain reaction,2,1,train
dynamic induce criterion shift,9,8,train
parallel environment implement neural network,3,3,train
adaptive refinement benchmark modern parallel programming language,6,5,train
source sector title dairy,7,7,train
identification area base feature area,0,4,train
survey recent result networked control system,5,2,train
sparse sequence model application computational biology intrusion detection,2,1,train
reconstruct binary matrix constraint projection,6,5,train
submit control distribute agent system,5,2,train
investor protection corporate governance,4,9,train
restriction mapping problem revisit,2,1,train
public attention selection pricing stock,4,9,train
financial asset price locally,4,9,train
symposium paper presentation poster,0,4,train
crude oil profit,7,7,train
dynamic interactive generation object behavior small robot dynamic neural network model,3,3,train
decision make coordination graph,9,8,train
diesel fuel impact synthetic crude oil demand,7,7,train
symposium paper presentation poster,0,4,train
paper conversion parametric scatter silicon microstructure,6,5,train
human cancer microarray minimum sum residue,2,1,train
soccer experience peer peer human robot team,9,8,train
flow limited diversification openness fall rise stock market correlation,4,9,train
forthcoming corporate governance market valuation,4,9,train
social fundamental impact relative income position social capital,9,8,train
probability psychological theory economic application,4,9,train
special issue learn action hybrid approach model,3,3,train
symposium paper presentation poster,0,4,train
classical wave experiment search multiple complexity,6,5,train
solution theory field test,0,4,train
unify bisimulation relation discrete continuous system,5,2,train
understand corn test weight,0,4,train
secure decentralized control,5,2,train
technical report simple fast dna,2,1,train
analyze compare protection quality security enhance system,5,2,train
interactive visualization analysis gene expression datum,2,1,train
optimal simple monetary policy rule small open economy exchange rate,4,9,train
premium time vary investment opportunity time series evidence work paper,4,9,train
integrate creative design experience material science,6,5,train
information monitoring role capital market theory international evidence,4,9,train
large scale simulation margin,7,7,train
interaction drive markov game,9,8,train
bayesian network analyze expression datum,2,1,train
policy base access control peer peer,5,2,train
growth impact site,7,7,train
result test base correlation integral normal world,4,9,train
statistical property similarity score function,2,1,train
dynamic hydrocarbon influence product fine structure state,7,7,train
train compiler decision,9,8,train
spatial variability property field soil,0,4,train
global pose estimation multi sensor fusion augment reality,8,6,train
stock price volatility jump evidence spot option price journal finance forthcoming,4,9,train
large scale simulation normal grain growth diffusion generate motion,6,5,train
complexity neural network,3,3,train
computer support cooperative work,9,8,train
multiple complex chemical reaction network property,8,6,train
feature interaction detection build control system formal,5,2,train
natural gas combine cycle study matrix,7,7,train
firm natural gas supply number date time,7,7,train
open access online genomic insight complete genome sequence,7,7,train
price impact institutional,4,9,train
transcription factor binding site identification organizing map,2,1,train
architectural design distribute real time control system,5,2,train
fuzzy game allocation rule,9,8,train
organize neural network perspective graph,3,3,train
gas interaction generate diesel engine contribution,7,7,train
contact order transition state rate single domain protein,8,6,train
combine expert advice reactive environment,9,8,train
scalable neural architecture board game,3,3,train
control markov decision process base agent,9,8,train
run title dynamic network reconstruction dynamic network reconstruction gene expression datum apply response bacterial,2,1,train
genomic optical mapping order restriction map,2,1,train
accept concrete composite study abstract,6,5,train
applicability neural network machine learning methodology natural language processing,3,3,train
hierarchical approach design multi vehicle embed software,5,2,train
genome scale computational approach memory intensive application system biology,2,1,train
polynomial time algorithm prime factorization discrete computer,8,6,train
combine abductive reasoning learning evolve requirement specification,3,3,train
conserve energy difference consequence theorem molecule,7,7,train
future climate system,7,7,train
evolutionary robotic exploit full power organization,5,2,train
interact process class,5,2,train
recurrent neural network analysis,3,3,train
psychology human modelling extend paradigm,9,8,train
international market integration natural gas analysis price,7,7,train
fine structure silica,6,5,train
article condition hybrid rice,0,4,train
extreme internet application,9,8,train
perspective learn symbolic datum system,3,3,train
comparison bus architecture safety critical embed system,5,2,train
generalize end elimination algorithm make large scale protein side chain structure prediction implication protein design structural genomic,2,1,train
crop yield agricultural,0,4,train
find connection fast graph base method link analysis collaboration query,9,8,train
systematic fluctuation expansion neural network activity equation,3,3,train
specification analysis option pricing model base time change,4,9,train
modification heat network crude unit base technology,7,7,train
dimensional transmission electron microscopy zeolite metal catalyst,6,5,train
gap base mixed forest effect gap size early survival year growth,0,4,train
apply advanced thermal emission spectral index geological mapping mineral identification,6,5,train
prediction form improve design manufacturing,6,5,train
evaluation glass fiber composite quantitative laser ultrasonic acoustic emission technique,6,5,train
managerial preference corporate governance financial structure,4,9,train
multi agent plan introduction planning coordination,9,8,train
static strength model composite laminate,6,5,train
abstract price protection strategy oil company,7,7,train
reinforcement learn gradient,3,3,train
magnetic field classical quantum behavior case theory relate field,8,6,train
detection protein code sequence mixture model local protein amino acid sequence,2,1,train
global evolutionary model emerge network society,5,2,train
efficient calculation low dimensional manifold chemical kinetic,8,6,train
effect portable performance,9,8,train
classical quantum system,8,6,train
equivalence determination optimal fertilizer application rate,0,4,train
society volume number summer,1,0,train
cluster error evaluation correction,2,1,train
security bit commitment scheme,8,6,train
predict experimental quantity protein fold kinetic,8,6,train
learn predict probabilistic incremental program evolution automatic task decomposition,3,3,train
flexible activation function neural function blind separation complex signal,3,3,train
framework networked visual control system computation,5,2,train
application action theory space,5,2,train
paper methane hydrate future natural gas,7,7,train
future coal consumption carbon constrain world,7,7,train
phase solution effective property,6,5,train
application advanced base technique test composite material,6,5,train
study feature selection promoter recognition comparative study feature selection promoter recognition,3,3,train
role secondary structure gene,2,1,train
role microstructure fracture fatigue resistance,6,5,train
dynamic simulation silica structure,6,5,train
late information diesel fuel,7,7,train
abstract issue temporal reasoning autonomous control system,5,2,train
source sequence set,2,1,train
enhanced trade integration prospect growth development,7,7,train
dna sequence comparison stream hardware architecture,2,1,train
map structure evolution chemistry research,9,8,train
concept integrate management management,0,4,train
combine theorem continuous model synchronous design,5,2,train
sequestration global warming,7,7,train
inter pattern distance base constructive learning algorithm,3,3,train
effect soil characteristic performance landmine detection ground radar system case study,0,4,train
international asset pricing model,4,9,train
model methodology risk management forecasting,4,9,train
shift scale pattern gene expression datum,2,1,train
structural recovery face default,4,9,train
control drive task,5,2,train
educational technology practice type change,1,0,train
thermal management material active,6,5,train
uncertainty water project assessment,0,4,train
speculative trading stock price analysis chinese share work paper,4,9,train
goal behavior network solve planning domain soccer,9,8,train
evolve neural network domain,3,3,train
evolution neural network control modularity matter,3,3,train
empirical model grain application grain,6,5,train
estimation dynamic term structure model,4,9,train
irrigation water demand impact agenda water,0,4,train
spatial temporal variability soil corn yield analysis,0,4,train
implement flexible embedded control simple real time kernel,5,2,train
paper author methane hydrate,7,7,train
particulate size measurement heavy duty diesel engine,7,7,train
combine logic programming active learning robotic discover function gene,2,1,train
qualitative simulation temporal concurrent process time interval net,9,8,train
stock imply volatility stock stock bond return relation,4,9,train
paper publication click search influence technology atmosphere property fiber reinforce polymer composite material,6,5,train
composite material design,6,5,train
leaf area root density measurement cover performance evaluation mine land,0,4,train
modeling variation methane flux,7,7,train
climate volume formulation land surface scheme atmospheric model,0,4,train
persistent reveal spill methane,7,7,train
inflation dynamic international model area,4,9,train
framework networked control system,5,2,train
hedge fund technology bubble,4,9,train
partial stabilization large scale discrete time control system,5,2,train
good management practice loss agricultural soil,0,4,train
hybrid neural system simple coupling fully integrate neural network,3,3,train
technological development micro irrigation application develop country,0,4,train
combine belief network neural network scene segmentation,3,3,train
market effect real asset market,4,9,train
access control semantic web service,9,8,train
production seismic profile survey,7,7,train
classical formula application effect,8,6,train
symbol error rate calculation space time code direct conversion receiver,8,6,train
logic social choice theory,9,8,train
abstract decomposition oil simulation,7,7,train
discontinuous system model rate base congestion control,5,2,train
linear control neuroevolution,3,3,train
post buckling failure thin make composite material,6,5,train
entropy calculation black hole,8,6,train
sequence marker associate,0,4,train
approve date approve,7,7,train
model human agent assist search operation,9,8,train
learn multi agent neural genetic trading system level social learning,4,9,train
management management restoration summary,0,4,train
query level loss function information retrieval,3,3,train
investigation heavy ion track polymer transmission electron,6,5,train
volume return study post announcement drift,4,9,train
preliminary version protein fold simulation concurrent constraint programming,2,1,train
draft mechanical thermal behavior machine tool,6,5,train
improve soil salinity prediction high resolution derive,0,4,train
optimization problem class neural network learn learn,3,3,train
active learning neural network,3,3,train
product market synergy competition acquisition text base analysis,4,9,train
base decentralized adaptation web process coordination constraint,9,8,train
organizational culture performance critical infrastructure modeling simulation technological system,9,8,train
study policy creation flexible access control system,5,2,train
approach stability property,6,5,train
capital collective action,9,8,train
market research discussion,4,9,train
sensor network approach intelligent transportation system,5,2,train
simulation financial market,4,9,train
distribution debt capacity work paper,4,9,train
intelligent simulation design complex dynamic control system,5,2,train
title high risk field area variable source fertilizer application optimize crop efficiency,0,4,train
analysis dimensional variational model equilibrium shape crystal,6,5,train
submit composite material,6,5,train
assess model capital accumulation prepare,4,9,train
analytical scanning electron structural,7,7,train
application sequential extraction scheme geological reference material determination journal,6,5,train
field base approach,8,6,train
inflation financial market performance learn year,4,9,train
solution type network,3,3,train
develop implement energy efficiency program initial comment western company,7,7,train
learn dynamic embed,3,3,train
firm diversification corporate cash,4,9,train
automatic synthesis real time controller,5,2,train
apply space technology early warning decision support system potential management,0,4,train
simultaneous estimation high performance thin layer,6,5,train
experiment orient pipeline analysis microarray gene expression,2,1,train
indicator financial market,4,9,train
computer simulation projection structure determine surface,6,5,train
consistency greenhouse gas emission estimation oil gas industry operation pursuit,7,7,train
identification structure space dna motif improve estimation signal length,2,1,train
enhance gas production,7,7,train
time vary long memory volatility detection estimation wavelet,4,9,train
land plant chain acid provide building block synthesis,6,5,train
resource lesson learn,2,1,train
base mapping grow season zone part,0,4,train
artificial evolution pulse neural network motion pattern classification system,3,3,train
survey classical finite element method computation microstructure,6,5,train
spin process drive mechanic dynamic,8,6,train
computational intelligence cluster algorithm application,3,3,train
memory base face recognition visitor identification,3,3,train
matter inflation forecasting,3,3,train
instance base filter feature selection,3,3,train
developmental model evolution complete autonomous agent,5,2,train
solar active region magnetic field space weather theoretical investigation,8,6,train
generalized probability correlation generalize model extension mechanic,8,6,train
increase quality sustainability organic natural resource,0,4,train
software pipeline software integration,5,2,train
common risk factor currency market,4,9,train
fracture fatigue crack growth thin sheet metal alloy,6,5,train
high order plate theory base element analysis frequency temperature relation crystal,8,6,train
model gene expression datum dynamic bayesian network,3,3,train
monetary policy asset price movement evidence,4,9,train
methane recovery sediment number submit,7,7,train
hardness approximation result black hole search arbitrary graph,8,6,train
motion control algorithm simple mechanical system symmetry,5,2,train
education creative art,9,8,train
numerical experimental analysis heat flux produce heating system,6,5,train
ownership experience defect fine grain study,5,2,train
practical guide farm research,0,4,train
bubble spot crash predict,4,9,train
neural basis judgment decision making,9,8,train
classification methodology gene expression datum,2,1,train
structured communication plan integrate action high level robot control system,5,2,train
gradient base apply document recognition,3,3,train
approach analyze gene expression,2,1,train
long horizon event study approach application initial public,4,9,train
artificial evolution control system,5,2,train
mechanical testing method structural material small size scale,6,5,train
string pattern regression algorithm,2,1,train
petroleum product crude oil foreign crude oil state crude oil natural gas,7,7,train
heterogeneity commitment strategic saving theory evidence,4,9,train
efficient reinforcement learn evolution,3,3,train
special paper enhancement dust implication life,7,7,train
click system cluster visualize gene expression datum,2,1,train
draft response currency crisis,7,7,train
algebraic structure dimensional conformal field theory,8,6,train
incremental evolution complex general behavior,3,3,train
thermal plasma generate gas water,7,7,train
change removal water,6,5,train
feature selection genetic algorithm,3,3,train
methodology estimate emission fossil fuel combustion methodology estimate carbon content methodology estimate carbon product energy,7,7,train
predict genetic regulatory response classification,2,1,train
review evolutionary artificial neural network,3,3,train
analysis assess spatial temporal dispersion reservoir,7,7,train
simple model modular structure transcriptional regulation yeast,2,1,train
approach credit financial instability crisis,4,9,train
fluid flow heterogeneous methane hydrate observation scanning,7,7,train
language modeling repeat game,9,8,train
equity share issue aggregate stock return,4,9,train
multi system case study normal form,5,2,train
state performance mem,6,5,train
multi task application detection,2,1,train
explain migration stock exchange emerge economy international center work paper,4,9,train
find motif number,2,1,train
characterize natural gas hydrate deep water application safe exploration production activity principal author,7,7,train
aggregate dependency graph agenda multi issue work paper,9,8,train
fault diagnosis continuous system discrete event method,5,2,train
datum drive theory refinement algorithm bioinformatic,3,3,train
preliminary model predict efficiency open coal mine,0,4,train
natural language grammatical inference recurrent neural network,3,3,train
evolutionary design language,1,0,train
cell force transducer,6,5,train
real effect investor sentiment,4,9,train
bad regulatory average reward learn dynamic decision make environment,9,8,train
index option pricing model stochastic volatility stochastic interest rate,4,9,train
search quantum speed,8,6,train
design technique energy efficient low power system,5,2,train
biological mining bayesian neural network,3,3,train
cluster identify anti correlate gene cluster,2,1,train
chapter behavior hydrocarbon subsurface chapter behavior hydrocarbon,7,7,train
motif discovery molecular sequence organize neural network,3,3,train
comparison study dual fuel engine performance generate noise dual fuel type engine parameter,7,7,train
efficient learning variable resolution cognitive map autonomous indoor,3,3,train
stock market dynamic monetary policy,4,9,train
soil moisture effect gaseous exchange atmosphere,0,4,train
efficient representation algorithm analyze molecular motion,8,6,train
overview base robotic simulated implementation vehicle,5,2,train
testing apply study behaviour presence simulated,6,5,train
financial system architecture systematic,4,9,train
